title,authors
Normal flow measurement visual motion sensor,Mehta and Etienne-Cummings. 2006.
A simplified normal optical flow measurement CMOS camera,"Mehta and Etienne-Cummings. 2006. IEEE Transactions on Circuits and Systems I: Regular Papers vol. 53, no. 6: 1223-1234."
A constrained optimization technique for the design of a uniformly excited N×N ultrasonic transducer micro‐array,"III and Etienne‐Cummings. 2006. The Journal of the Acoustical Society of America vol. 119, no. 5: 3320-3320."
Neuromorphic vision systems for mobile applications,Etienne-Cummings et al. 2006.
Power dissipation sources and possible control techniques in ultra deep submicron CMOS technologies,"Ekekwe and Etienne-Cummings. 2006. Microelectronics Journal vol. 37, no. 9: 851-860."
Modeling and Simulation of a VLSI Chip for Adaptive Speed Control of Brushed DC Motors,"Ekekwe, Etienne-Cummings, and Kazanzides. 2006. IASTED CAS, Montréal."
"A configurable VLSI chip for DC motor control for compact, low-current robotic systems","Ekekwe, Etienne-Cummings, and Kazanzides. 2006."
Design of an ultrasonic micro-array for near field sensing during retinal microsurgery,Clarke and Etienne-Cummings. 2006.
Single ping-multiple measurements: Sonar bearing angle estimation using spatiotemporal frequency filters,"Clapp and Etienne-Cummings. 2006. IEEE Transactions on Circuits and Systems I: Regular Papers vol. 53, no. 4: 769-783."
Cmos pixel-level ADC with change detection,Chi et al. 2006.
Electrical stimulation of a spinal central pattern generator for locomotion,Vogelstein et al. 2005.
A spiking silicon central pattern generator with floating gate synapses [robot control applications],Tenore et al. 2005.
A 1V current-mode CMOS active pixel sensor,Philipp and Etienne-Cummings. 2005.
Temporal change threshold detection imager,Mallik et al. 2005.
A real-time spike-domain sensory information processing system [image processing applications],Mallik et al. 2005.
CPG design using inhibitory networks,"Lewis, Tenore, and Etienne-Cummings. 2005."
On-chip normal flow computation with aperture problem compensation circuitry,Gruev and Etienne-Cummings. 2005.
ColorCam: a color-based object recognition camera,"Etienne-Cummings, Pouliquen, and Lewis. 2005."
Sonar echo-location in 2-D using mini-microphone array and spatiotemporal frequency filtering,Clapp and Etienne-Cummings. 2005.
Guest Editorial,"Yadid-Pecht and Etienne-Cummings. 2004. Analog Integrated Circuits and Signal Processing vol. 39, no. 3: 223-224."
Spatial acuity modulation of an address-event imager,Vogelstein et al. 2004.
Saliency-driven image acuity modulation on a reconfigurable array of spiking silicon neurons,Vogelstein et al. 2004. NIPS 17.
